Property Address,Parcel Number,Inspection Date,Grade,License Status,Expiration Date,Mappable Address
1707 James Cherry Drive,922116461014,05/13/2013,Class B,Issued,10/14/2019,"1707 James Cherry Drive
Urbana, IL
(-88.1857, 40.0987)"
1404 East Michigan Avenue,922116376037,03/02/2016,Class B,Issued,10/14/2021,"1404 East Michigan Avenue
Urbana, IL
(-88.1916, 40.1018)"
904 North Broadway Avenue Unit 18,912108257031,02/04/2008,Class B,Issued,10/14/2021,"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
1612 East Trails Drive,932128252008,12/07/2017,Class B,Issued,10/14/2021,"1612 East Trails Drive
Urbana, IL
(40.0777549744, -88.186668396)"
407 Anderson Street,922117245007,05/22/2015,Class B,Issued,10/14/2021,"407 Anderson Street
Urbana, IL
(-88.2005, 40.1095)"
706 East Scovill Street,932121356015,04/05/2017,Class B,Issued,10/14/2021,"706 East Scovill Street
Urbana, IL
(40.085663, -88.19878)"
1109 East Scovill Street,932121379008,03/21/2017,Class B,Expired,10/14/2020,"1109 East Scovill Street
Urbana, IL
(40.085667, -88.193726)"
203 West Park Street,912108402003,01/13/2011,Class B,Expired,10/14/2021,"203 West Park Street
Urbana, IL
(-88.2095, 40.1173)"
1502 East Florida Avenue,922116453008,08/19/2009,Class B,Expired,10/14/2021,"1502 East Florida Avenue
Urbana, IL
(-88.19, 40.0989)"
1502 Abercorn Street,912115389015,03/03/2015,Class B,Issued,10/14/2021,"1502 Abercorn Street
Urbana, IL
(-88.1724, 40.1003)"
701 West Green Street,922117107008,01/25/2013,Class B,Issued,10/14/2020,"701 West Green Street
Urbana, IL
(-88.2163, 40.1104)"
1910 East Country Squire Drive,922116431026,03/27/2018,Class B,Issued,10/14/2021,"1910 East Country Squire Drive
Urbana, IL
(40.1026649475, -88.183883667)"
805 East Illinois Street,922116152003,01/12/2016,Class B,Issued,10/14/2021,"805 East Illinois Street
Urbana, IL
(-88.1983, 40.1091)"
703 Stoughton Street,912108360007,01/21/2011,Class B,Issued,10/14/2021,"703 Stoughton Street
Urbana, IL
(-88.2166, 40.113)"
