Property Address	Parcel Number	Inspection Date	Grade	License Status	Expiration Date	Mappable Address
704 Grove Street	922117287004.00	12/11/2009	Class B	Issued	10/14/2021	"704 Grove Street
Urbana, IL
(-88.201, 40.1072)"
112 South Poplar Street	922116127010.00	6/20/2012	Class B	Expired	10/14/2021	"112 South Poplar Street
Urbana, IL
(-88.1942, 40.112)"
1905 East Summit Drive	932128229003.00	12/4/2017	Class B	Issued	10/14/2021	"1905 East Summit Drive
Urbana, IL
(40.08307, -88.18312)"
1003 North Mathews Avenue	912107256012.00	6/16/2011	Class C	Expired	10/14/2021	"1003 North Mathews Avenue
Urbana, IL
(-88.226, 40.1216)"
702 West Washington Street	922117158016.00	7/30/2018	Class B	Issued	10/14/2021	"702 West Washington Street
Urbana, IL
(40.1057167053, -88.2161941528)"
605 West Iowa Street	932117306016.00	2/24/2020	Class B	Issued	10/14/2021	"605 West Iowa Street
Urbana, IL
(40.104366, -88.21508)"
605 South Race Street	922117255007.00	7/8/2019	Class B	Expired	10/14/2019	"605 South Race Street
Urbana, IL
(40.107887, -88.20913)"
1503 East Florida Avenue	932121201013.00	11/30/2017	Class B	Issued	10/14/2021	"1503 East Florida Avenue
Urbana, IL
(40.0973854065, -88.1888504028)"
2106 East Rainbow View	912115304024.00	3/10/2015	Class B	Expired	10/14/2021	"2106 East Rainbow View
Urbana, IL
(-88.1807, 40.1035)"
605 Sunny Lane	912115180029.00	3/26/2015	Class A	Issued	10/14/2021	"605 Sunny Lane
Urbana, IL
(-88.1729, 40.1073)"
505 South Maple Street	922117277009.00	1/7/2020	Class B	Issued	10/14/2021	"505 South Maple Street
Urbana, IL
(40.1087875366, -88.2027435303)"
1406 Beech Street	912107251013.00	7/27/2011	Class B	Expired	10/14/2021	"1406 Beech Street
Urbana, IL
(-88.2279, 40.1224)"
106 Hartle Avenue	922116129023.00	6/17/2009	Class B	Expired		"106 Hartle Avenue
Urbana, IL
(-88.1919, 40.1122)"
205 West Pennsylvania Avenue	932117381007.00	2/25/2020	Class B	Issued	10/14/2021	"205 West Pennsylvania Avenue
Urbana, IL
(40.100433, -88.21027)"
708 Springfield Avenue	912108360005.00	10/27/2010	Class C	Expired		"708 Springfield Avenue
Urbana, IL
(-88.217, 40.1129)"
505 East Shurts Street	932120477003.00	3/2/2017	Class B	Expired	10/14/2020	"505 East Shurts Street
Urbana, IL
(40.085968, -88.20121)"
1114 Austin Drive	922116404009.00	9/10/2014	Class B	Expired	10/14/2021	"1114 Austin Drive
Urbana, IL
(-88.1872, 40.1026)"
205 West California Avenue	922117255002.00	11/4/2019	Class B	Issued	10/14/2021	"205 West California Avenue
Urbana, IL
(40.1081390381, -88.2094573975)"
503 West Green Street	922117128005.00	5/8/2013	Class B	Issued	10/14/2021	"503 West Green Street
Urbana, IL
(-88.2136, 40.1104)"
1615 Ivanhoe Way	922116454018.00	12/23/2014	Class B	Issued		"1615 Ivanhoe Way
Urbana, IL
(-88.188, 40.1014)"
502 West Green Street Unit 211	922117127033.00	12/22/2008	Class A	Issued	10/14/2021	"502 West Green Street
Urbana, IL
(-88.2134, 40.1107)"
1409 Lincolnwood Drive	922116477013.00	1/21/2015	Class B	Issued	10/14/2021	"1409 Lincolnwood Drive
Urbana, IL
(-88.1859, 40.1008)"
308 Locust Street	912108383006.00	9/28/2007	Class B	Issued	10/14/2021	"308 Locust Street
Urbana, IL
(-88.2112, 40.1138)"
904 East Park Street	912109307002.00	8/16/2010	Class B	Expired	10/14/2021	"904 East Park Street
Urbana, IL
(-88.197, 40.1174)"
1003 Stoughton Street	912107483006.00	12/23/2008	Class B	Issued		"1003 Stoughton Street
Urbana, IL
(-88.2211, 40.1133)"
1211 Beech Street	912107260001.00	6/17/2011	Class C	Issued	10/14/2021	"1211 Beech Street
Urbana, IL
(-88.2256, 40.1219)"
605 East Shurts Street	932121352001.00	3/13/2017	Class B	Issued	10/14/2021	"605 East Shurts Street
Urbana, IL
(40.08602, -88.19979)"
502 West Main Street	912108378004.00	8/29/2007	Class B	Issued	10/14/2020	"502 West Main Street
Urbana, IL
(-88.2132, 40.1141)"
1411 East Pennsylvania Avenue	922116382024.00	5/13/2016	Class B	Issued	10/14/2021	"1411 East Pennsylvania Avenue
Urbana, IL
(-88.191, 40.099)"
2306 South Anderson Street	932121354007.00	3/9/2017	Class B	Issued	10/14/2021	"2306 South Anderson Street
Urbana, IL
(40.087254, -88.19923)"
2010 South Race Street	932120252005.00	8/29/2016	Class B	Issued	10/14/2021	"2010 South Race Street
Urbana, IL
(-88.2092, 40.0929)"
1107 East Florida Avenue	932121126002.00	11/15/2017	Class B	Issued	10/14/2021	"1107 East Florida Avenue
Urbana, IL
(40.0977973938, -88.1940002441)"
1606 Hunter Street	922116402057.00	7/21/2014	Class B	Issued	10/14/2021	"1606 Hunter Street
Urbana, IL
(-88.1881, 40.1038)"
203 South Cottage Grove Avenue	922116104033.00	4/9/2012	Class B	Expired	10/14/2021	"203 South Cottage Grove Avenue
Urbana, IL
(-88.1961, 40.1117)"
2308 East Vermont Avenue	912115352030.00	3/19/2015	Class B	Issued	10/14/2020	"2308 East Vermont Avenue
Urbana, IL
(-88.1774, 40.1006)"
1201 Silver Street	932121182006.00	6/14/2013	Class B	Issued	10/14/2021	"1201 Silver Street
Urbana, IL
(-88.1937, 40.0912)"
201 East Michigan Avenue	932117455005.00	8/7/2009	Class A	Expired		"201 East Michigan Avenue
Urbana, IL
(-88.2059, 40.1016)"
506 Griggs Street	912108377008.00	7/6/2007	Class B	Issued	10/14/2019	"506 Griggs Street
Urbana, IL
(-88.2135, 40.1148)"
808 South Lincoln Avenue	922117154009.00	1/29/2013	Class B	Issued	10/14/2021	"808 South Lincoln Avenue
Urbana, IL
(-88.2188, 40.1057)"
707 South Race Street	922117259009.00	6/4/2019	Class B	Issued	10/14/2021	"707 South Race Street
Urbana, IL
(40.107014, -88.20908)"
704 North Coler Avenue	912108308009.00	4/9/2014	Class B	Issued	10/14/2021	"704 North Coler Avenue
Urbana, IL
(-88.2154, 40.1186)"
712 South Maple Street	922117286009.00	2/12/2020	Class B	Issued	10/14/2021	"712 South Maple Street
Urbana, IL
(40.1066246033, -88.2021255493)"
509 South Cottage Grove Avenue	922116155012.00	1/12/2016	Class C	Issued	10/14/2021	"509 South Cottage Grove Avenue
Urbana, IL
(-88.1961, 40.1087)"
1203 Eads Street	912107259005.00	5/18/2011	Class B	Issued	10/14/2021	"1203 Eads Street
Urbana, IL
(-88.2247, 40.1229)"
902 North Lincoln Avenue	912108151037.00	3/5/2012	Class B	Issued		"902 North Lincoln Avenue
Urbana, IL
(-88.2192, 40.1203)"
1313 South Abercorn Street	912115390021.00	2/14/2018	Class A	Issued	10/14/2021	"1313 South Abercorn Street
Urbana, IL
(40.102519989, -88.1730041504)"
1707 James Cherry Drive	922116461014.00	5/13/2013	Class B	Issued	10/14/2019	"1707 James Cherry Drive
Urbana, IL
(-88.1857, 40.0987)"
1404 East Michigan Avenue	922116376037.00	3/2/2016	Class B	Issued	10/14/2021	"1404 East Michigan Avenue
Urbana, IL
(-88.1916, 40.1018)"
904 North Broadway Avenue Unit 18	912108257031.00	2/4/2008	Class B	Issued	10/14/2021	"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
1612 East Trails Drive	932128252008.00	12/7/2017	Class B	Issued	10/14/2021	"1612 East Trails Drive
Urbana, IL
(40.0777549744, -88.186668396)"
407 Anderson Street	922117245007.00	5/22/2015	Class B	Issued	10/14/2021	"407 Anderson Street
Urbana, IL
(-88.2005, 40.1095)"
706 East Scovill Street	932121356015.00	4/5/2017	Class B	Issued	10/14/2021	"706 East Scovill Street
Urbana, IL
(40.085663, -88.19878)"
1109 East Scovill Street	932121379008.00	3/21/2017	Class B	Expired	10/14/2020	"1109 East Scovill Street
Urbana, IL
(40.085667, -88.193726)"
203 West Park Street	912108402003.00	1/13/2011	Class B	Expired	10/14/2021	"203 West Park Street
Urbana, IL
(-88.2095, 40.1173)"
1502 East Florida Avenue	922116453008.00	8/19/2009	Class B	Expired	10/14/2021	"1502 East Florida Avenue
Urbana, IL
(-88.19, 40.0989)"
