Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City
579374,CHICAGO BLACKHAWKS STANLEY'S T2 BAR,STANLEY'S CHICAGO BLACKHAWK (T2 E5),34139,Restaurant,Risk 1 (High),11601 W TOUHY AVE,CHICAGO
353255,HUNAN WOK,HUNAN WOK,1953432,Restaurant,Risk 1 (High),3411 W BRYN MAWR AVE,CHICAGO
612247,TRATTORIA PIZZERIA ROMA,WOODIE'S FLAT,22361,Restaurant,Risk 1 (High),1535 N WELLS ST,CHICAGO
579426,ZACATACOS,ZACATACOS,50551,Restaurant,Risk 1 (High),5925 S PULASKI RD,CHICAGO
166310,SUBWAY,SUBWAY,1948040,Restaurant,Risk 1 (High),1651 W ROOSEVELT RD,CHICAGO
531423,DA STORE,DA STORE,2099477,Grocery Store,Risk 2 (Medium),460 E 61ST ST,CHICAGO
505386,FINESSE CUISINE,FINESSE CUISINE,1680051,Catering,Risk 1 (High),1116 N KEDZIE AVE,CHICAGO
580285,RAINBOW BEACH SUB SHOP,RAINBOW BEACH SUB SHOP,1716822,Restaurant,Risk 1 (High),7520 S EXCHANGE AVE,CHICAGO
537371,ANNUNCIATA SCHOOL,ANNUNCIATA SCHOOL,2046680,School,Risk 1 (High),3750 E 112TH ST,CHICAGO
537389,LOS TRES AMIGO'S RESTAURANT,LOS TRES AMIGO'S RESTAURANT,2093205,Restaurant,Risk 1 (High),10401 S MUSKEGON AVE,CHICAGO
505388,MUNCHERS,MUNCHERS,2088151,Restaurant,Risk 2 (Medium),4326 W DIVISION ST,CHICAGO
521529,CREMA,CREMA,1868722,Restaurant,Risk 1 (High),5159 N LINCOLN AVE,CHICAGO
614229,"Arby's /SBA,LTD",Arby's,1892053,Restaurant,Risk 1 (High),5 N WELLS ST,CHICAGO
580918,Friedrich L. Jahn Elementary,Friedrich L. Jahn Elementary,23921,School,Risk 1 (High),3149 N Wolcott (1900W),CHICAGO
517341,Lincoln Park (H/S),Lincoln Park (H/S),46321,School,Risk 1 (High),2001 N Orchard (700W),CHICAGO
543215,CARIBBEAN JERK & SOUL FOOD,CARIBBEAN JERK & SOUL FOOD,1679257,Restaurant,Risk 1 (High),6242 S WESTERN AVE,CHICAGO
417340,BURGER KING #1303,BURGER KING #1303,1698088,Restaurant,Risk 2 (Medium),110 E 95TH ST,CHICAGO
505276,LITTLE LEADERS OF TOMORROW,LITTLE LEADERS OF TOMORROW,1333232,Children's Services Facility,Risk 1 (High),301 N MAYFIELD AVE,CHICAGO
543401,"HARAMBEE HOUSE BANQUETS & DUSTIES BUFFETS, INC.","HARAMBEE HOUSE BANQUETS & DUSTIES BUFFETS, INC.",85670,Restaurant,Risk 1 (High),11901 S LOOMIS ST,CHICAGO
579585,ROCKIN  TACO,ROCKIN TACO,2004413,Restaurant,Risk 1 (High),1467 W IRVING PARK RD,CHICAGO
491000,KING'S CAFE AND DESSERTS,KING'S CAFE AND DESSERTS,2068992,Restaurant,Risk 1 (High),8103 S COTTAGE GROVE AVE,CHICAGO
